long,lat,group,id
177.4154358,51.8828125,Alaska.10,Alaska
177.3285065,51.84106445,Alaska.10,Alaska
177.2606506,51.88368988,Alaska.10,Alaska
177.2502899,51.9029274,Alaska.10,Alaska
177.380661,51.97578049,Alaska.10,Alaska
177.4784241,51.99160004,Alaska.10,Alaska
177.5205078,52.01821136,Alaska.10,Alaska
177.5637665,52.11049652,Alaska.10,Alaska
177.6365204,52.11381912,Alaska.10,Alaska
177.669632,52.10302734,Alaska.10,Alaska
177.6530304,52.05976486,Alaska.10,Alaska
177.595993,51.99384689,Alaska.10,Alaska
177.5941467,51.94755936,Alaska.10,Alaska
177.4154358,51.8828125,Alaska.10,Alaska
-173.5533142,52.13628006,Alaska.11,Alaska
-173.3572235,52.09565353,Alaska.11,Alaska
-173.1132813,52.10038757,Alaska.11,Alaska
-173.0243225,52.09052658,Alaska.11,Alaska
-173.0229034,52.07915115,Alaska.11,Alaska
-173.1788635,52.0625,Alaska.11,Alaska
-173.2322235,52.06797028,Alaska.11,Alaska
-173.3684082,52.04560471,Alaska.11,Alaska
-173.4609833,52.0415535,Alaska.11,Alaska
-173.6725616,52.06264496,Alaska.11,Alaska
-173.8357849,52.04819489,Alaska.11,Alaska
-173.878952,52.05366135,Alaska.11,Alaska
-173.9302216,52.07216644,Alaska.11,Alaska
-173.9896088,52.10361481,Alaska.11,Alaska
-173.9924774,52.12334061,Alaska.11,Alaska
-173.9389191,52.13129807,Alaska.11,Alaska
-173.7940979,52.10429764,Alaska.11,Alaska
-173.779007,52.11835861,Alaska.11,Alaska
-173.6568298,52.14374924,Alaska.11,Alaska
-173.5533142,52.13628006,Alaska.11,Alaska
-172.4647827,52.27226257,Alaska.12,Alaska
-172.5391235,52.25746918,Alaska.12,Alaska
-172.6198273,52.27285004,Alaska.12,Alaska
-172.5821686,52.325634,Alaska.12,Alaska
-172.5436554,52.35380936,Alaska.12,Alaska
-172.4703979,52.38803482,Alaska.12,Alaska
-172.3831024,52.37294769,Alaska.12,Alaska
-172.3136292,52.32958984,Alaska.12,Alaska
-172.4647827,52.27226257,Alaska.12,Alaska
-174.6773834,52.03501129,Alaska.13,Alaska
-175.2138672,51.99389648,Alaska.13,Alaska
-175.2955627,52.02216721,Alaska.13,Alaska
-175.2141571,52.0382309,Alaska.13,Alaska
-175.1176758,52.04711914,Alaska.13,Alaska
